stop_id,stop_name,stop_lat,stop_lon
39,Ma Na Pa Dengle Pul Nadikhathi,18.523632,73.855293
40,Shivaji Maharaj Putla,18.5264,73.8526
41,Simla Office,18.530262,73.849236
42,Mhasoba Gate,18.532146,73.842667
43,Pumping Station,18.534836,73.838715
44,Mafatlal Bungalow,18.5366,73.836304
45,Rangehills Corner,18.537701,73.8349
46,Pune Vidhyapeeth Gate Aundh Road,18.543671,73.827095
47,Bal Kalyan Sanstha,18.548201,73.8237
48,Gol Market Aundh Road,18.5511,73.821602
6296,Kasturba Gandhi Vasahat,18.555,73.818802
50,Sindh Colony Aundh Road,18.559099,73.815804
24,Bremen Chowk,18.559099,73.815697
51,Bodygate,18.563295,73.813171
52,Aundhgaon,18.565744,73.812149
53,Sangvi Phata Brt,18.5728,73.807098
20,Aundh Hospital,18.5769,73.8032
19,Rakshak Chowk,18.581207,73.798752
1190,Rakshak Society Pimplenilakh,18.579208,73.796005
1188,Ganesh Mandir Pimplenilakh,18.5741,73.795403
68,Hinjawadi Maan Phase 3,18.5765,73.688202
1197,Pimple Nilakh,18.571692,73.794075
69,Tcs Company,18.581007,73.687653
6696,Ingwale Chowk,18.571899,73.790398
70,Tech Mahindra,18.582878,73.690041
6697,Ingwale Chowk Cornar,18.575577,73.789017
71,Gangaramwadi Circul,18.584244,73.693565
6698,Petrol Pump Pimple Nilakh,18.577337,73.787422
72,Dlf Company,18.584713,73.695915
6699,Neeta Park Pimple Nilakh,18.5791,73.785797
73,Tata Motors,18.586851,73.700127
6700,Nandanvan Chowk,18.581499,73.783997
1071,Power House Hinjawadi,18.58894,73.704887
6701,Nandgude Shala,18.582399,73.783401
75,Infosys Phase 2,18.593229,73.707718
6702,Chondhe English Medium School,18.5863,73.780998
76,Emcure Hinjawadi Road,18.595964,73.712845
54,Vishal Nagar,18.5882,73.784203
77,Wipro Company Circle,18.596756,73.717781
55,Apple Hospital Vishal Nagar / Apple Hospital,18.588543,73.780212
78,Tata Johnson,18.594486,73.728027
15,Mankar Chowk,18.589598,73.774231
79,Bank Of Maharashtra Hinjawadi,18.594042,73.731964
7587,Mount Vert Society Wakad,18.58996,73.769485
8,Mezza Nine,18.594,73.734299
57,Wakad,18.592329,73.76162
9,Shivaji Chowk Hinjawadi,18.59127,73.739189
58,Savtamali Mandir,18.591547,73.753845
10,D Mart Hinjawadi,18.591215,73.744438
59,Hinjawadi Jakat Naka,18.590836,73.749748
11,Hinjawadi Jakat Naka,18.590971,73.749603
60,D Mart Hinjawadi,18.591091,73.744301
12,Savtamali Mandir,18.592005,73.754585
61,Shivaji Chowk Hinjawadi,18.591,73.738869
13,Wakad,18.592506,73.761803
62,It Park Road,18.588203,73.737473
14,Mount Vert Society Wakad,18.59017,73.769646
6,Infosys Phase 1,18.586367,73.733459
7,Siemens,18.59034,73.732895
16,Apple Hospital Vishal Nagar / Apple Hospital,18.588699,73.780502
91,Bank Of Maharashtra Hinjawadi,18.593937,73.731842
17,Vishal Nagar,18.588301,73.784203
92,Tata Johnson,18.594463,73.727554
106517,Chondhe English Medium School,18.586546,73.780945
93,Wipro Company Circle,18.596788,73.718658
6689,Nandgude Shala,18.5825,73.783401
94,Emcure Hinjawadi Road,18.595774,73.712578
6690,Nandanvan Chowk,18.581699,73.783997
95,Infosys Phase 2,18.593597,73.708206
6691,Neeta Park Pimple Nilakh,18.579201,73.786003
96,Power House Hinjawadi,18.589001,73.705299
6692,Petrol Pump Pimple Nilakh,18.577293,73.787605
97,Tata Motors,18.5868,73.700302
6693,Ingwale Chowk Cornar,18.575548,73.789146
98,Gangaramwadi Circul,18.583618,73.69429
6694,Ingwale Chowk,18.5718,73.790703
99,Tech Mahindra,18.582787,73.690384
100,Tcs Company,18.581202,73.687782
1150,Ganesh Mandir Pimplenilakh,18.574142,73.795364
101,Hinjawadi Maan Phase 3,18.576899,73.688362
22,Aundhgaon,18.566465,73.811943
23,Bodygate,18.56324,73.813301
25,Sindh Colony Aundh Road,18.556244,73.818176
26,Kasturba Gandhi Vasahat,18.555099,73.819
27,Gol Market Aundh Road,18.551201,73.8218
28,Bal Kalyan Sanstha,18.5483,73.823898
29,Rajbhavan,18.544701,73.8265
31,E Square,18.537701,73.835297
32,Pumping Station,18.534822,73.838943
33,Mhasoba Gate,18.532505,73.842339
34,Simla Office,18.53034,73.849403
35,Coep Hostel Jm Road,18.5263,73.850502
3855,Modern High School,18.5245,73.849403
6467,Sawarkar Bhavan,18.522247,73.850174
108,Ma Na Pa Dengle Pul Nadikathi,18.523623,73.855064
4537,Kothrud Depot,18.507799,73.794701
158,Bharati Nagar,18.507708,73.797081
159,Kachara Depot Kothrud,18.507299,73.799896
160,Vanaj Company,18.507099,73.803902
161,Vanaj Corner,18.507299,73.807297
162,Pratik Nagar,18.508123,73.809402
163,Jai Bhavani Nagar,18.509371,73.812523
164,Anand Nagar Kothrud,18.509554,73.814438
